,Date,,A1,A2,E1,E2,N1,N2,N3,S1,S2,S3,W1,W2,W3,MCP
0,01-12-2022,RTC,4826.14,4826.14,4826.14,4826.14,4826.14,4826.14,4826.14,4826.14,4826.14,4826.14,4826.14,4826.14,4826.14,4826.14
1,01-12-2022,Evening,6133.64,6133.64,6133.64,6133.64,6133.64,6133.64,6133.64,6133.64,6133.64,6133.64,6133.64,6133.64,6133.64,6133.64
2,01-12-2022,Day,4909.48,4909.48,4909.48,4909.48,4909.48,4909.48,4909.48,4909.48,4909.48,4909.48,4909.48,4909.48,4909.48,4909.48
3,01-12-2022,Night,3001.32,3001.32,3001.32,3001.32,3001.32,3001.32,3001.32,3001.32,3001.32,3001.32,3001.32,3001.32,3001.32,3001.32
4,01-12-2022,Morning,5912.51,5912.51,5912.51,5912.51,5912.51,5912.51,5912.51,5912.51,5912.51,5912.51,5912.51,5912.51,5912.51,5912.51
5,02-12-2022,RTC,4726.99,4726.99,4726.99,4726.99,4726.99,4726.99,4726.99,4726.99,4726.99,4726.99,4726.99,4726.99,4726.99,4726.99
6,02-12-2022,Evening,5839.77,5839.77,5839.77,5839.77,5839.77,5839.77,5839.77,5839.77,5839.77,5839.77,5839.77,5839.77,5839.77,5839.77
7,02-12-2022,Day,4897.27,4897.27,4897.27,4897.27,4897.27,4897.27,4897.27,4897.27,4897.27,4897.27,4897.27,4897.27,4897.27,4897.27
8,02-12-2022,Night,3021.41,3021.41,3021.41,3021.41,3021.41,3021.41,3021.41,3021.41,3021.41,3021.41,3021.41,3021.41,3021.41,3021.41
9,02-12-2022,Morning,5744.58,5744.58,5744.58,5744.58,5744.58,5744.58,5744.58,5744.58,5744.58,5744.58,5744.58,5744.58,5744.58,5744.58
10,03-12-2022,RTC,5245.35,5245.35,5245.35,5245.35,5245.35,5245.35,5245.35,5245.35,5245.35,5245.35,5245.35,5245.35,5245.35,5245.35
11,03-12-2022,Evening,6904.3,6904.3,6904.3,6904.3,6904.3,6904.3,6904.3,6904.3,6904.3,6904.3,6904.3,6904.3,6904.3,6904.3
12,03-12-2022,Day,4931.6,4931.6,4931.6,4931.6,4931.6,4931.6,4931.6,4931.6,4931.6,4931.6,4931.6,4931.6,4931.6,4931.6
13,03-12-2022,Night,3206.63,3206.63,3206.63,3206.63,3206.63,3206.63,3206.63,3206.63,3206.63,3206.63,3206.63,3206.63,3206.63,3206.63
14,03-12-2022,Morning,6873.73,6873.73,6873.73,6873.73,6873.73,6873.73,6873.73,6873.73,6873.73,6873.73,6873.73,6873.73,6873.73,6873.73
15,04-12-2022,RTC,4155.47,4155.47,4155.47,4155.47,4155.47,4155.47,4155.47,4155.47,4155.47,4155.47,4155.47,4155.47,4155.47,4155.47
16,04-12-2022,Evening,5075.44,5075.44,5075.44,5075.44,5075.44,5075.44,5075.44,5075.44,5075.44,5075.44,5075.44,5075.44,5075.44,5075.44
17,04-12-2022,Day,4025.54,4025.54,4025.54,4025.54,4025.54,4025.54,4025.54,4025.54,4025.54,4025.54,4025.54,4025.54,4025.54,4025.54
18,04-12-2022,Night,2928.49,2928.49,2928.49,2928.49,2928.49,2928.49,2928.49,2928.49,2928.49,2928.49,2928.49,2928.49,2928.49,2928.49
19,04-12-2022,Morning,5150.07,5150.07,5150.07,5150.07,5150.07,5150.07,5150.07,5150.07,5150.07,5150.07,5150.07,5150.07,5150.07,5150.07
20,05-12-2022,RTC,5102.55,5102.55,5102.55,5102.55,5102.55,5102.55,5102.55,5102.55,5102.55,5102.55,5102.55,5102.55,5102.55,5102.55
21,05-12-2022,Evening,7024.74,7024.74,7024.74,7024.74,7024.74,7024.74,7024.74,7024.74,7024.74,7024.74,7024.74,7024.74,7024.74,7024.74
22,05-12-2022,Day,5028.86,5028.86,5028.86,5028.86,5028.86,5028.86,5028.86,5028.86,5028.86,5028.86,5028.86,5028.86,5028.86,5028.86
23,05-12-2022,Night,3000.22,3000.22,3000.22,3000.22,3000.22,3000.22,3000.22,3000.22,3000.22,3000.22,3000.22,3000.22,3000.22,3000.22
24,05-12-2022,Morning,6027.35,6027.35,6027.35,6027.35,6027.35,6027.35,6027.35,6027.35,6027.35,6027.35,6027.35,6027.35,6027.35,6027.35
25,06-12-2022,RTC,4766.94,4766.94,4766.94,4766.94,4766.94,4766.94,4766.94,4766.94,4766.94,4766.94,4766.94,4766.94,4766.94,4766.94
26,06-12-2022,Evening,6017.31,6017.31,6017.31,6017.31,6017.31,6017.31,6017.31,6017.31,6017.31,6017.31,6017.31,6017.31,6017.31,6017.31
27,06-12-2022,Day,4974.85,4974.85,4974.85,4974.85,4974.85,4974.85,4974.85,4974.85,4974.85,4974.85,4974.85,4974.85,4974.85,4974.85
28,06-12-2022,Night,2951.31,2951.31,2951.31,2951.31,2951.31,2951.31,2951.31,2951.31,2951.31,2951.31,2951.31,2951.31,2951.31,2951.31
29,06-12-2022,Morning,5704.93,5704.93,5704.93,5704.93,5704.93,5704.93,5704.93,5704.93,5704.93,5704.93,5704.93,5704.93,5704.93,5704.93
30,07-12-2022,RTC,5176.21,5176.21,5176.21,5176.21,5176.21,5176.21,5176.21,5176.21,5176.21,5176.21,5176.21,5176.21,5176.21,5176.21
