,Date,Hour,Time Block,A1,A2,E1,E2,N1,N2,N3,S1,S2,S3,W1,W2,W3,MCP
0,01-12-2022,1,00:00 - 00:15,3045.46,3045.46,3045.46,3045.46,3045.46,3045.46,3045.46,3045.46,3045.46,3045.46,3045.46,3045.46,3045.46,3045.46
1,01-12-2022,1,00:15 - 00:30,2937.95,2937.95,2937.95,2937.95,2937.95,2937.95,2937.95,2937.95,2937.95,2937.95,2937.95,2937.95,2937.95,2937.95
2,01-12-2022,1,00:30 - 00:45,2885.84,2885.84,2885.84,2885.84,2885.84,2885.84,2885.84,2885.84,2885.84,2885.84,2885.84,2885.84,2885.84,2885.84
3,01-12-2022,1,00:45 - 01:00,2885.31,2885.31,2885.31,2885.31,2885.31,2885.31,2885.31,2885.31,2885.31,2885.31,2885.31,2885.31,2885.31,2885.31
4,01-12-2022,2,01:00 - 01:15,2859.39,2859.39,2859.39,2859.39,2859.39,2859.39,2859.39,2859.39,2859.39,2859.39,2859.39,2859.39,2859.39,2859.39
5,01-12-2022,2,01:15 - 01:30,2850.54,2850.54,2850.54,2850.54,2850.54,2850.54,2850.54,2850.54,2850.54,2850.54,2850.54,2850.54,2850.54,2850.54
6,01-12-2022,2,01:30 - 01:45,2807.94,2807.94,2807.94,2807.94,2807.94,2807.94,2807.94,2807.94,2807.94,2807.94,2807.94,2807.94,2807.94,2807.94
7,01-12-2022,2,01:45 - 02:00,2807.64,2807.64,2807.64,2807.64,2807.64,2807.64,2807.64,2807.64,2807.64,2807.64,2807.64,2807.64,2807.64,2807.64
8,01-12-2022,3,02:00 - 02:15,2807.43,2807.43,2807.43,2807.43,2807.43,2807.43,2807.43,2807.43,2807.43,2807.43,2807.43,2807.43,2807.43,2807.43
9,01-12-2022,3,02:15 - 02:30,2807.18,2807.18,2807.18,2807.18,2807.18,2807.18,2807.18,2807.18,2807.18,2807.18,2807.18,2807.18,2807.18,2807.18
10,01-12-2022,3,02:30 - 02:45,2709.68,2709.68,2709.68,2709.68,2709.68,2709.68,2709.68,2709.68,2709.68,2709.68,2709.68,2709.68,2709.68,2709.68
11,01-12-2022,3,02:45 - 03:00,2709.32,2709.32,2709.32,2709.32,2709.32,2709.32,2709.32,2709.32,2709.32,2709.32,2709.32,2709.32,2709.32,2709.32
12,01-12-2022,4,03:00 - 03:15,2709.83,2709.83,2709.83,2709.83,2709.83,2709.83,2709.83,2709.83,2709.83,2709.83,2709.83,2709.83,2709.83,2709.83
13,01-12-2022,4,03:15 - 03:30,2709.83,2709.83,2709.83,2709.83,2709.83,2709.83,2709.83,2709.83,2709.83,2709.83,2709.83,2709.83,2709.83,2709.83
14,01-12-2022,4,03:30 - 03:45,2709.88,2709.88,2709.88,2709.88,2709.88,2709.88,2709.88,2709.88,2709.88,2709.88,2709.88,2709.88,2709.88,2709.88
15,01-12-2022,4,03:45 - 04:00,2709.82,2709.82,2709.82,2709.82,2709.82,2709.82,2709.82,2709.82,2709.82,2709.82,2709.82,2709.82,2709.82,2709.82
16,01-12-2022,5,04:00 - 04:15,2807.88,2807.88,2807.88,2807.88,2807.88,2807.88,2807.88,2807.88,2807.88,2807.88,2807.88,2807.88,2807.88,2807.88
17,01-12-2022,5,04:15 - 04:30,2898.78,2898.78,2898.78,2898.78,2898.78,2898.78,2898.78,2898.78,2898.78,2898.78,2898.78,2898.78,2898.78,2898.78
18,01-12-2022,5,04:30 - 04:45,2950.1,2950.1,2950.1,2950.1,2950.1,2950.1,2950.1,2950.1,2950.1,2950.1,2950.1,2950.1,2950.1,2950.1
19,01-12-2022,5,04:45 - 05:00,3045.15,3045.15,3045.15,3045.15,3045.15,3045.15,3045.15,3045.15,3045.15,3045.15,3045.15,3045.15,3045.15,3045.15
20,01-12-2022,6,05:00 - 05:15,3340.59,3340.59,3340.59,3340.59,3340.59,3340.59,3340.59,3340.59,3340.59,3340.59,3340.59,3340.59,3340.59,3340.59
21,01-12-2022,6,05:15 - 05:30,3403.79,3403.79,3403.79,3403.79,3403.79,3403.79,3403.79,3403.79,3403.79,3403.79,3403.79,3403.79,3403.79,3403.79
22,01-12-2022,6,05:30 - 05:45,3600.65,3600.65,3600.65,3600.65,3600.65,3600.65,3600.65,3600.65,3600.65,3600.65,3600.65,3600.65,3600.65,3600.65
23,01-12-2022,6,05:45 - 06:00,4014.82,4014.82,4014.82,4014.82,4014.82,4014.82,4014.82,4014.82,4014.82,4014.82,4014.82,4014.82,4014.82,4014.82
24,01-12-2022,7,06:00 - 06:15,4092.98,4092.98,4092.98,4092.98,4092.98,4092.98,4092.98,4092.98,4092.98,4092.98,4092.98,4092.98,4092.98,4092.98
25,01-12-2022,7,06:15 - 06:30,4400.6,4400.6,4400.6,4400.6,4400.6,4400.6,4400.6,4400.6,4400.6,4400.6,4400.6,4400.6,4400.6,4400.6
26,01-12-2022,7,06:30 - 06:45,5000.06,5000.06,5000.06,5000.06,5000.06,5000.06,5000.06,5000.06,5000.06,5000.06,5000.06,5000.06,5000.06,5000.06
27,01-12-2022,7,06:45 - 07:00,6059.18,6059.18,6059.18,6059.18,6059.18,6059.18,6059.18,6059.18,6059.18,6059.18,6059.18,6059.18,6059.18,6059.18
28,01-12-2022,8,07:00 - 07:15,7000.4,7000.4,7000.4,7000.4,7000.4,7000.4,7000.4,7000.4,7000.4,7000.4,7000.4,7000.4,7000.4,7000.4
